STATION,STATION_NAME,DATE,MDPR,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080314,-9999,43,-9999,-9999,161,61,26,190,200,89,116,1502,1451
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080315,-9999,0,-9999,-9999,278,122,47,240,220,125,165,1927,1640
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080316,-9999,0,-9999,-9999,283,133,32,260,240,94,130,24,218
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080317,-9999,0,-9999,-9999,256,106,41,120,120,103,130,1118,1119
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080318,-9999,0,-9999,-9999,250,128,41,140,120,80,116,1112,1205
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080319,-9999,0,-9999,-9999,300,156,60,220,230,125,165,1616,1617
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080320,-9999,74,-9999,-9999,233,78,36,270,330,98,116,722,111
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080321,-9999,0,-9999,-9999,250,44,22,110,110,72,107,1215,1216
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080322,-9999,0,-9999,-9999,228,106,8,180,270,45,72,839,1537
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080323,-9999,0,-9999,-9999,267,106,25,50,70,80,112,1712,1726
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080324,-9999,0,-9999,-9999,183,67,44,320,330,94,116,1631,1632
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080325,-9999,0,-9999,-9999,183,6,27,50,200,72,112,1504,1007
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080326,-9999,0,-9999,-9999,228,33,11,120,130,54,76,1321,1525
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080327,-9999,0,-9999,-9999,256,78,14,150,190,58,76,1427,1249
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080328,-9999,0,-9999,-9999,272,94,10,210,210,58,72,954,955
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080329,-9999,0,-9999,-9999,283,111,15,110,120,72,94,1804,1806
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080330,-9999,0,-9999,-9999,194,139,43,40,40,76,98,1837,1838
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080331,-9999,0,-9999,-9999,261,122,32,130,140,89,103,1629,1628
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080401,-9999,0,-9999,-9999,294,161,21,320,320,80,112,1906,1909
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080402,-9999,0,-9999,-9999,300,150,16,130,140,54,67,2237,2155
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080403,-9999,0,-9999,-9999,294,167,17,50,60,58,89,1629,1631
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080404,-9999,3,-9999,-9999,300,183,28,210,180,72,103,1351,1428
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080405,-9999,147,-9999,-9999,289,172,36,290,210,107,139,1538,1802
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080406,-9999,104,-9999,-9999,222,144,14,140,120,63,72,1556,1555
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080407,-9999,0,-9999,-9999,244,167,32,50,70,80,107,1600,1923
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080408,-9999,0,-9999,-9999,239,144,43,50,40,76,103,839,840
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080409,-9999,0,-9999,-9999,267,150,29,80,80,63,80,1710,1711
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080410,-9999,0,-9999,-9999,283,128,17,110,90,45,63,1633,1537
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080411,-9999,0,-9999,-9999,294,139,11,250,190,40,63,1101,1923
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080412,-9999,0,-9999,-9999,294,156,38,260,260,94,134,1346,1610
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080413,-9999,13,-9999,-9999,228,94,31,250,240,89,116,1551,1552
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080414,-9999,0,-9999,-9999,200,56,41,270,260,98,139,1611,1655
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080415,-9999,0,-9999,-9999,172,39,41,340,320,94,130,1317,1354
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080416,-9999,0,-9999,-9999,211,33,38,60,60,103,143,1319,1319
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080417,-9999,0,-9999,-9999,250,17,17,70,90,72,94,1208,1318
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080418,-9999,0,-9999,-9999,267,83,13,140,170,58,72,1355,1109
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080419,-9999,0,-9999,-9999,272,128,34,190,190,72,98,1724,1725
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080420,-9999,0,-9999,-9999,283,122,28,300,330,63,89,1511,1330
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080421,-9999,0,-9999,-9999,289,144,27,290,330,72,94,1202,1208
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080422,-9999,0,-9999,-9999,283,94,19,350,300,67,98,1344,1535
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080423,-9999,0,-9999,-9999,261,111,34,50,50,89,107,1451,1542
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080424,-9999,0,-9999,-9999,283,156,33,70,110,76,103,1214,1622
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080425,-9999,0,-9999,-9999,289,144,22,130,120,58,80,1308,1711
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080426,-9999,0,-9999,-9999,294,139,14,120,120,58,76,1330,1748
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080427,-9999,0,-9999,-9999,300,144,19,120,140,58,80,1441,1611
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080428,-9999,0,-9999,-9999,283,194,38,220,220,112,156,1230,1305
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080429,-9999,0,-9999,-9999,256,111,26,330,310,76,103,105,106
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080430,-9999,0,-9999,-9999,272,56,20,30,30,58,80,954,1523
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080501,-9999,0,-9999,-9999,289,94,26,110,140,72,98,1111,1035
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080502,-9999,0,-9999,-9999,289,117,29,100,150,72,116,916,1856
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080503,-9999,0,-9999,-9999,300,161,29,250,260,76,98,1732,1733
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080504,-9999,0,-9999,-9999,311,144,24,240,280,67,107,1121,1716
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080505,-9999,0,-9999,-9999,300,172,29,270,260,63,80,1851,1852
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080506,-9999,0,-9999,-9999,322,144,29,40,50,72,94,1639,1648
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080507,-9999,0,-9999,-9999,317,194,28,120,120,72,103,1249,1001
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080508,-9999,0,-9999,-9999,322,200,43,240,250,98,143,1437,1631
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080509,-9999,0,-9999,-9999,317,217,52,250,250,116,148,1425,1412
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080510,-9999,0,-9999,-9999,328,228,47,270,240,94,125,1428,1551
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080511,-9999,0,-9999,-9999,311,233,69,240,270,143,183,1557,1542
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080512,-9999,0,-9999,-9999,289,161,41,280,300,76,103,1457,1508
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080513,-9999,0,-9999,-9999,294,106,29,90,90,67,94,1825,1558
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080514,-9999,0,-9999,-9999,300,117,30,110,140,72,103,1151,901
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080515,-9999,0,-9999,-9999,306,144,31,200,180,63,80,1344,1707
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080516,-9999,104,-9999,-9999,306,206,40,240,250,98,130,1619,1620
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080517,-9999,0,-9999,-9999,311,206,40,250,240,94,116,1624,1625
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080518,-9999,3,-9999,-9999,289,194,41,280,280,98,139,1654,1658
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080519,-9999,0,-9999,-9999,322,200,39,240,240,80,116,1759,1759
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080520,-9999,0,-9999,-9999,328,189,52,270,260,112,139,1408,1408
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080521,-9999,0,-9999,-9999,317,206,55,260,250,98,130,1500,1501
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080522,-9999,0,-9999,-9999,289,211,23,240,240,63,80,1447,1447
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080523,-9999,8,-9999,-9999,306,217,15,240,230,58,72,1506,1506
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080524,-9999,0,-9999,-9999,344,200,26,330,330,72,98,1609,1623
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080525,-9999,0,-9999,-9999,311,189,37,40,60,89,107,1524,1637
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080526,-9999,0,-9999,-9999,300,144,24,80,50,76,103,1355,1533
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080527,-9999,0,-9999,-9999,300,128,20,90,90,67,89,1754,1754
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080528,-9999,0,-9999,-9999,328,144,17,70,60,54,89,1349,1855
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080529,-9999,0,-9999,-9999,322,167,24,110,110,72,98,1308,1855
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080530,-9999,0,-9999,-9999,322,172,26,60,80,67,94,1225,1735
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080531,-9999,43,-9999,-9999,350,172,17,100,70,63,94,1847,1912
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080601,-9999,0,-9999,-9999,356,206,14,210,230,103,130,1455,1502
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080602,-9999,0,-9999,-9999,350,189,21,10,360,89,107,1607,1607
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080603,-9999,10,-9999,-9999,344,217,21,290,300,112,143,1432,1433
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080604,-9999,0,-9999,-9999,350,189,16,230,230,63,76,1622,1625
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080605,-9999,0,-9999,-9999,361,222,26,110,110,98,112,1745,1747
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080606,-9999,0,-9999,-9999,361,217,27,110,110,80,103,1739,1746
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080607,-9999,0,-9999,-9999,356,194,18,110,110,67,94,1816,1817
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080608,-9999,33,-9999,-9999,356,189,10,160,150,76,103,1652,1702
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080609,-9999,13,-9999,-9999,356,206,15,160,160,112,139,1650,1650
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080610,-9999,417,-9999,-9999,328,194,10,240,230,170,210,1329,1329
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080611,-9999,251,-9999,-9999,306,189,10,320,310,139,183,1223,1224
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080612,-9999,107,-9999,-9999,317,217,21,60,70,98,139,1330,1332
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080613,-9999,3,-9999,-9999,322,194,17,110,90,76,94,1612,1212
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080614,-9999,3,-9999,-9999,328,200,14,250,260,76,94,1955,1955
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080615,-9999,30,-9999,-9999,311,211,11,250,240,76,89,1410,1410
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080616,-9999,0,-9999,-9999,317,222,21,280,280,63,80,1305,1306
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080617,-9999,0,-9999,-9999,333,211,28,220,220,89,107,1303,1304
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080618,-9999,3,-9999,-9999,322,217,29,210,330,67,94,1600,1130
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080619,-9999,0,-9999,-9999,339,194,26,230,220,67,94,1434,1435
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080620,-9999,0,-9999,-9999,344,194,22,140,150,80,103,1943,1944
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080621,-9999,58,-9999,-9999,300,200,12,220,210,89,116,1620,1116
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080622,-9999,142,-9999,-9999,311,194,17,260,320,148,201,1358,1351
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080623,-9999,48,-9999,-9999,300,200,20,280,280,63,76,937,938
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080624,-9999,0,-9999,-9999,317,211,13,140,140,45,63,2002,2003
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080625,-9999,8,-9999,-9999,317,194,16,160,150,98,125,1245,1246
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080626,-9999,46,-9999,-9999,322,178,16,220,200,134,165,1607,1609
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080627,-9999,117,-9999,-9999,317,189,6,200,310,76,98,1441,1614
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080628,-9999,8,-9999,-9999,322,206,13,200,-9999,31,-9999,-9999,1310
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080629,-9999,13,-9999,-9999,317,200,16,280,280,76,103,1640,1642
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080630,-9999,38,-9999,-9999,328,211,22,330,320,125,165,1328,1328
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080701,-9999,5,-9999,-9999,311,217,18,200,210,63,72,1850,1850
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080702,-9999,3,-9999,-9999,317,200,9,150,140,98,125,1638,1638
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080703,-9999,0,-9999,-9999,317,200,9,250,240,40,58,1955,2004
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080704,-9999,0,-9999,-9999,328,189,9,260,260,72,94,1714,1715
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080705,-9999,0,-9999,-9999,333,206,14,60,180,63,80,1629,2023
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080706,-9999,5,-9999,-9999,322,211,13,190,190,67,94,1330,1331
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080707,-9999,3,-9999,-9999,317,200,15,140,140,116,156,1530,1530
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080708,-9999,594,-9999,-9999,328,206,17,140,140,98,134,1543,1544
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080709,-9999,0,-9999,-9999,317,206,10,130,180,45,67,1502,1347
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080710,-9999,0,-9999,-9999,339,222,10,200,210,72,98,1622,1644
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080711,-9999,0,-9999,-9999,339,217,17,210,210,63,76,1700,1701
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080712,-9999,127,-9999,-9999,300,228,10,270,280,134,161,1115,1116
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080713,-9999,0,-9999,-9999,333,222,11,310,310,54,67,1455,1456
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080714,-9999,97,-9999,-9999,333,222,22,350,310,80,116,1957,2014
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080715,-9999,5,-9999,-9999,294,217,14,220,210,72,89,1243,1243
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080716,-9999,140,-9999,-9999,306,211,17,20,20,80,103,1608,1609
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080717,-9999,0,-9999,-9999,322,222,23,30,30,76,98,1523,1524
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080718,-9999,0,-9999,-9999,328,222,24,260,300,63,80,1421,1744
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080719,-9999,0,-9999,-9999,344,239,28,250,250,76,98,1709,1709
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080720,-9999,0,-9999,-9999,344,228,18,230,240,76,103,1532,1536
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080721,-9999,0,-9999,-9999,333,228,18,240,250,63,67,1618,1616
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080722,-9999,236,-9999,-9999,333,217,16,260,260,156,259,1427,1429
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080723,-9999,23,-9999,-9999,311,228,19,10,10,80,107,1336,1329
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080724,-9999,0,-9999,-9999,328,206,22,270,270,67,80,1323,1324
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080725,-9999,3,-9999,-9999,328,222,11,120,120,80,107,1636,1637
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080726,-9999,53,-9999,-9999,322,217,12,210,190,80,125,1302,1303
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080727,-9999,18,-9999,-9999,317,228,17,270,270,89,103,1300,1300
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080728,-9999,0,-9999,-9999,317,228,15,180,-9999,36,-9999,-9999,1201
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080729,-9999,64,-9999,-9999,311,222,15,230,240,89,107,1051,1044
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080730,-9999,5,-9999,-9999,289,233,22,220,230,67,107,2047,2047
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080731,-9999,46,-9999,-9999,300,228,32,250,250,80,103,1441,1443
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080801,-9999,0,-9999,-9999,306,239,29,260,260,98,134,1323,1323
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080802,-9999,8,-9999,-9999,289,228,24,190,190,72,94,1315,1316
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080803,-9999,0,-9999,-9999,328,217,15,270,240,45,63,1421,1502
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080804,-9999,0,-9999,-9999,333,217,14,150,150,54,67,2057,2059
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080805,-9999,0,-9999,-9999,339,206,12,130,150,45,58,1316,1255
